,1. open,2. high,3. low,4. close,5. volume
2024-02-07,190.6400,191.0500,188.6100,189.4100,53438955
2024-02-06,186.8600,189.3100,186.7695,189.3000,43490759
2024-02-05,188.1500,189.2500,185.8400,187.6800,69668820
2024-02-02,179.8600,187.3300,179.2500,185.8500,102551680
2024-02-01,183.9850,186.9500,183.8200,186.8600,64885408
2024-01-31,187.0400,187.0950,184.3500,184.4000,55467803
2024-01-30,190.9400,191.8000,187.4700,188.0400,55859370
2024-01-29,192.0100,192.2000,189.5800,191.7300,47145622
2024-01-26,194.2700,194.7600,191.9400,192.4200,44594011
2024-01-25,195.2200,196.2675,193.1125,194.1700,54822126
2024-01-24,195.4200,196.3800,194.3400,194.5000,53463269
2024-01-23,195.0200,195.7500,193.8299,195.1800,42355590
2024-01-22,192.3000,195.3300,192.2600,193.8900,60133852
2024-01-19,189.3300,191.9500,188.8200,191.5600,68902985
2024-01-18,186.0900,189.1400,185.8300,188.6300,78005754
2024-01-17,181.2700,182.9300,180.3000,182.6800,47317433
2024-01-16,182.1600,184.2600,180.9340,183.6300,65603041
2024-01-12,186.0600,186.7400,185.1900,185.9200,40477782
2024-01-11,186.5400,187.0500,183.6200,185.5900,49128408
2024-01-10,184.3500,186.4000,183.9200,186.1900,46792908
2024-01-09,183.9200,185.1500,182.7300,185.1400,42841809
2024-01-08,182.0850,185.6000,181.5000,185.5600,59144470
2024-01-05,181.9900,182.7600,180.1700,181.1800,62196924
2024-01-04,182.1500,183.0872,180.8800,181.9100,71983570
2024-01-03,184.2200,185.8800,183.4300,184.2500,58414460
2024-01-02,187.1500,188.4400,183.8850,185.6400,82488674
2023-12-29,193.9000,194.4000,191.7250,192.5300,42672148
2023-12-28,194.1400,194.6600,193.1700,193.5800,34049898
2023-12-27,192.4900,193.5000,191.0900,193.1500,47899806
2023-12-26,193.6100,193.8900,192.8300,193.0500,28919310
2023-12-22,195.1800,195.4100,192.9700,193.6000,37149570
2023-12-21,196.1000,197.0800,193.5000,194.6800,46482549
2023-12-20,196.9000,197.6800,194.8300,194.8300,52242815
2023-12-19,196.1600,196.9500,195.8900,196.9400,40233138
2023-12-18,196.0900,196.6300,194.3900,195.8900,55751861
2023-12-15,197.5300,198.3999,197.0000,197.5700,128538401
2023-12-14,198.0200,199.6200,196.1600,198.1100,66831572
2023-12-13,195.0900,198.0000,194.8500,197.9600,70404183
2023-12-12,193.0800,194.7200,191.7210,194.7100,52696900
2023-12-11,193.1100,193.4900,191.4200,193.1800,60943699
2023-12-08,194.2000,195.9900,193.6700,195.7100,53406358
2023-12-07,193.6300,195.0000,193.5900,194.2700,47477655
2023-12-06,194.4500,194.7600,192.1100,192.3200,40895115
2023-12-05,190.2100,194.4000,190.1800,193.4200,66628398
2023-12-04,189.9800,190.0500,187.4511,189.4300,43389519
2023-12-01,190.3300,191.5600,189.2300,191.2400,45704823
2023-11-30,189.8400,190.3200,188.1900,189.9500,48794366
2023-11-29,190.9000,192.0900,188.9700,189.3700,43014224
2023-11-28,189.7800,191.0800,189.4000,190.4000,38415419
2023-11-27,189.9200,190.6700,188.9000,189.7900,40552609
2023-11-24,190.8700,190.9000,189.2500,189.9700,24048344
2023-11-22,191.4900,192.9300,190.8250,191.3100,39630011
2023-11-21,191.4100,191.5200,189.7400,190.6400,38134485
2023-11-20,189.8900,191.9050,189.8800,191.4500,46538614
2023-11-17,190.2500,190.3800,188.5700,189.6900,50941404
2023-11-16,189.5700,190.9600,188.6500,189.7100,54412915
2023-11-15,187.8450,189.5000,187.7800,188.0100,53790499
2023-11-14,187.7000,188.1100,186.3000,187.4400,60108378
2023-11-13,185.8200,186.0300,184.2100,184.8000,43627519
2023-11-10,183.9700,186.5650,183.5300,186.4000,66177922
2023-11-09,182.9600,184.1200,181.8100,182.4100,53763540
2023-11-08,182.3500,183.4500,181.5900,182.8900,49340282
2023-11-07,179.1800,182.4400,178.9700,181.8200,70529966
2023-11-06,176.3800,179.4300,176.2100,179.2300,63841310
2023-11-03,174.2400,176.8200,173.3500,176.6500,79829246
2023-11-02,175.5200,177.7800,175.4600,177.5700,77334752
2023-11-01,171.0000,174.2300,170.1200,173.9700,56934906
2023-10-31,169.3500,170.9000,167.9000,170.7700,44846017
2023-10-30,169.0200,171.1700,168.8700,170.2900,51130955
2023-10-27,166.9100,168.9600,166.8300,168.2200,58499129
2023-10-26,170.3700,171.3775,165.6700,166.8900,70625258
2023-10-25,171.8800,173.0600,170.6500,171.1000,57156962
2023-10-24,173.0500,173.6700,171.4500,173.4400,43816644
2023-10-23,170.9100,174.0100,169.9300,173.0000,55980109
2023-10-20,175.3100,175.4200,172.6400,172.8800,64244028
2023-10-19,176.0400,177.8400,175.1900,175.4600,59302863
2023-10-18,175.5800,177.5750,175.1100,175.8400,54764375
2023-10-17,176.6450,178.4200,174.8000,177.1500,57549350
2023-10-16,176.7500,179.0750,176.5100,178.7200,52516984
2023-10-13,181.4200,181.9300,178.1400,178.8500,51456082
2023-10-12,180.0700,182.3400,179.0400,180.7100,56743119
2023-10-11,178.2000,179.8500,177.6000,179.8000,47551098
2023-10-10,178.1000,179.7200,177.9500,178.3900,43698019
2023-10-09,176.8100,179.0500,175.8000,178.9900,42390772
2023-10-06,173.8000,177.9900,173.1800,177.4900,57266675
2023-10-05,173.7900,175.4500,172.6800,174.9100,48527918
2023-10-04,171.0900,174.2100,170.9700,173.6600,53020286
2023-10-03,172.2550,173.6300,170.8200,172.4000,49594613
2023-10-02,171.2200,174.3000,170.9300,173.7500,52164535
2023-09-29,172.0200,173.0700,170.3410,171.2100,51861083
2023-09-28,169.3400,172.0300,167.6200,170.6900,56294419
2023-09-27,172.6200,173.0400,169.0500,170.4300,66921808
2023-09-26,174.8200,175.2000,171.6600,171.9600,64588945
2023-09-25,174.2000,176.9700,174.1500,176.0800,46172740
2023-09-22,174.6700,177.0790,174.0500,174.7900,56725385
2023-09-21,174.5500,176.3000,173.8600,173.9300,63149116
2023-09-20,179.2600,179.6950,175.4000,175.4900,58436181
2023-09-19,177.5200,179.6300,177.1300,179.0700,51826941
2023-09-18,176.4800,179.3800,176.1700,177.9700,67257573
2023-09-15,176.4800,176.4950,173.8200,175.0100,109259461
