,1. open,2. high,3. low,4. close,5. volume
2024-02-07 19:59:00,189.3700,189.4300,189.3700,189.4000,1485
2024-02-07 19:58:00,189.3700,189.4000,189.3500,189.4000,1425
2024-02-07 19:57:00,189.3900,189.3900,189.3700,189.3700,232
2024-02-07 19:56:00,189.3900,189.3900,189.3000,189.3700,649
2024-02-07 19:55:00,189.3600,189.3900,189.3000,189.3000,430
2024-02-07 19:54:00,189.3150,189.3600,189.2800,189.3600,796
2024-02-07 19:53:00,189.3500,189.3500,189.2800,189.2800,202
2024-02-07 19:52:00,189.2800,189.3500,189.2800,189.3000,313
2024-02-07 19:51:00,189.3300,189.3500,189.2800,189.3400,195
2024-02-07 19:50:00,189.3200,189.3500,189.2800,189.3500,126
2024-02-07 19:49:00,189.3150,189.3500,189.2800,189.3000,140
2024-02-07 19:48:00,189.2800,189.3300,189.2800,189.2900,593
2024-02-07 19:47:00,189.3000,189.3050,189.2800,189.3050,138
2024-02-07 19:46:00,189.2800,189.3000,189.2800,189.3000,351
2024-02-07 19:45:00,189.2800,189.2850,189.2700,189.2850,967
2024-02-07 19:44:00,189.2800,189.2800,189.2700,189.2800,125
2024-02-07 19:43:00,189.2700,189.2800,189.2700,189.2800,220
2024-02-07 19:42:00,189.2800,189.2800,189.2600,189.2750,85
2024-02-07 19:41:00,189.2800,189.2800,189.2600,189.2700,134
2024-02-07 19:40:00,189.2700,189.2800,189.2600,189.2600,228
2024-02-07 19:39:00,189.2800,189.2800,189.2650,189.2800,69
2024-02-07 19:38:00,189.2800,189.2800,189.2650,189.2800,16
2024-02-07 19:37:00,189.2800,189.2800,189.2500,189.2650,118
2024-02-07 19:36:00,189.2700,189.2800,189.2400,189.2800,25
2024-02-07 19:35:00,189.2700,189.2800,189.2400,189.2400,112
2024-02-07 19:34:00,189.2700,189.2800,189.2400,189.2400,65
2024-02-07 19:33:00,189.2800,189.2800,189.2400,189.2500,71
2024-02-07 19:32:00,189.2500,189.2800,189.2500,189.2600,333
2024-02-07 19:31:00,189.2500,189.2800,189.2500,189.2500,264
2024-02-07 19:30:00,189.2600,189.2700,189.2500,189.2600,164
2024-02-07 19:29:00,189.2600,189.2800,189.2500,189.2700,1302
2024-02-07 19:28:00,189.2700,189.2800,189.2600,189.2600,248
2024-02-07 19:27:00,189.2700,189.2700,189.2500,189.2650,62
2024-02-07 19:26:00,189.3000,189.3000,189.2500,189.2700,378
2024-02-07 19:25:00,189.2700,189.2700,189.2300,189.2500,1060
2024-02-07 19:24:00,189.2500,189.2700,189.2500,189.2690,2497
2024-02-07 19:23:00,189.3300,189.3300,189.2500,189.2800,355
2024-02-07 19:22:00,189.2900,189.3300,189.2800,189.2800,106
2024-02-07 19:21:00,189.3150,189.3300,189.2800,189.3050,322
2024-02-07 19:20:00,189.3200,189.3300,189.3000,189.3300,218
2024-02-07 19:19:00,189.3200,189.3300,189.3000,189.3300,228
2024-02-07 19:18:00,189.3300,189.3300,189.3000,189.3200,52
2024-02-07 19:17:00,189.3200,189.3300,189.3000,189.3200,159
2024-02-07 19:16:00,189.3300,189.3300,189.3000,189.3000,157
2024-02-07 19:15:00,189.3050,189.3300,189.2800,189.2800,201
2024-02-07 19:14:00,189.3150,189.3300,189.2800,189.3050,111
2024-02-07 19:13:00,189.3300,189.3300,189.3000,189.3150,335
2024-02-07 19:12:00,189.3000,189.3300,189.2800,189.3000,82
2024-02-07 19:11:00,189.3200,189.3300,189.3000,189.3000,469
2024-02-07 19:10:00,189.2950,189.3200,189.2950,189.3150,20
2024-02-07 19:09:00,189.3100,189.3200,189.2700,189.3200,330
2024-02-07 19:08:00,189.3200,189.3200,189.3000,189.3100,228
2024-02-07 19:07:00,189.2800,189.3000,189.2700,189.3000,142
2024-02-07 19:06:00,189.2600,189.3200,189.2500,189.2800,369
2024-02-07 19:05:00,189.2300,189.3000,189.2200,189.3000,301
2024-02-07 19:04:00,189.3000,189.3200,189.2300,189.2300,238
2024-02-07 19:03:00,189.2600,189.3400,189.2300,189.2700,387
2024-02-07 19:02:00,189.3300,189.3400,189.2600,189.3000,15
2024-02-07 19:01:00,189.3300,189.3400,189.2900,189.2900,16
2024-02-07 19:00:00,189.3350,189.3600,189.2600,189.3000,320
2024-02-07 18:59:00,189.3500,189.3500,189.2920,189.3400,432
2024-02-07 18:58:00,189.3000,189.3500,189.2700,189.3200,313
2024-02-07 18:57:00,189.3000,189.3500,189.2600,189.3500,30
2024-02-07 18:56:00,189.3300,189.3600,189.2600,189.3500,384
2024-02-07 18:55:00,189.3600,189.3600,189.2600,189.3100,40
2024-02-07 18:54:00,189.3600,189.3600,189.2300,189.2600,76
2024-02-07 18:53:00,189.3600,189.3600,189.2600,189.2600,298
2024-02-07 18:52:00,189.3700,189.3700,189.2600,189.2600,51
2024-02-07 18:51:00,189.3050,189.3700,189.2600,189.3150,80
2024-02-07 18:50:00,189.2500,189.3600,189.2300,189.3500,74
2024-02-07 18:49:00,189.2300,189.2800,189.2300,189.2500,363
2024-02-07 18:48:00,189.2300,189.2600,189.2100,189.2500,101
2024-02-07 18:47:00,189.2300,189.2600,189.2100,189.2300,266
2024-02-07 18:46:00,189.2300,189.2600,189.2100,189.2290,61
2024-02-07 18:45:00,189.2100,189.2600,189.2100,189.2350,1008
2024-02-07 18:44:00,189.2350,189.2600,189.2100,189.2350,61
2024-02-07 18:43:00,189.2400,189.2600,189.2350,189.2350,84
2024-02-07 18:42:00,189.3200,189.3300,189.1900,189.2400,828
2024-02-07 18:41:00,189.3000,189.3000,189.2100,189.2700,128
2024-02-07 18:40:00,189.2800,189.3000,189.2500,189.2600,1120
2024-02-07 18:39:00,189.2800,189.3000,189.2600,189.2800,269
2024-02-07 18:38:00,189.2700,189.3000,189.2700,189.3000,113
2024-02-07 18:37:00,189.3000,189.3300,189.2700,189.3000,116
2024-02-07 18:36:00,189.3000,189.3300,189.3000,189.3000,31
2024-02-07 18:35:00,189.3000,189.3000,189.2700,189.3000,50
2024-02-07 18:34:00,189.3000,189.3300,189.2700,189.3000,32
2024-02-07 18:33:00,189.2950,189.3300,189.2700,189.3000,26
2024-02-07 18:32:00,189.3300,189.3300,189.2600,189.2900,62
2024-02-07 18:31:00,189.3200,189.3590,189.2600,189.2950,40
2024-02-07 18:30:00,189.3450,189.3800,189.2500,189.3200,1845
2024-02-07 18:29:00,189.3300,189.3450,189.3000,189.3200,323
2024-02-07 18:28:00,189.3340,189.3900,189.3200,189.3200,521
2024-02-07 18:27:00,189.3500,189.3900,189.3500,189.3500,6
2024-02-07 18:26:00,189.3500,189.3900,189.3000,189.3100,258
2024-02-07 18:25:00,189.3450,189.3900,189.3000,189.3500,119
2024-02-07 18:24:00,189.3500,189.3900,189.3100,189.3900,1116
2024-02-07 18:23:00,189.3000,189.3700,189.3000,189.3000,134
2024-02-07 18:22:00,189.3800,189.3800,189.3000,189.3350,345
2024-02-07 18:21:00,189.3150,189.3800,189.2500,189.3000,138
2024-02-07 18:20:00,189.3900,189.3900,189.2700,189.3600,2644
